longitude, latitude, magnitude, depth,
172.36015,-43.62086,3.287,12,
172.13179,-43.48333,3.303,8.3551,
172.37329,-43.64251,3.264,5,
172.12587,-43.52039,3.1,8.6746,
172.14586,-43.57332,3.158,5,
172.35283,-43.62333,3.77,5,
172.14256,-43.57784,3.464,5,
172.35619,-43.57591,3.317,5,
172.18134,-43.59245,3.578,5,
172.41757,-43.61236,3.745,12,
171.74586,-43.68582,3.615,12,
172.22552,-43.56639,3.803,11.4839,
172.21689,-43.58671,4.6,15.4167,
172.24094,-43.65182,3.635,17.2655,
171.97409,-43.51653,3.677,5,
172.18736,-43.58545,3.123,5,
172.45381,-43.62324,4.444,8.3596,
172.18239,-43.49659,3.697,6.4955,
171.98123,-43.5359,3.514,5,
172.21678,-43.56539,3.608,5,
172.06158,-43.60017,3.863,5,
172.71423,-43.53712,3.494,21.4778,
172.2014,-43.63544,3.364,5,
172.23175,-43.5606,3.105,12,
172.38969,-43.629,3.006,5,
172.15208,-43.57822,2.951,5,
172.1759,-43.47049,2.907,5,
171.93036,-43.56152,3.964,5,
172.37663,-43.64319,3.679,6.4204,
172.20227,-43.57238,3.221,5,
172.16713,-43.45979,3.423,5,
172.38457,-43.56495,3.53,5,
172.13434,-43.52434,2.663,5,
172.36519,-43.58719,2.909,5,
172.32555,-43.54547,3.078,5,
172.1993,-43.48877,3.37,9.1478,
172.24591,-43.61634,2.842,5,
171.84972,-43.56121,3.127,5,
172.19493,-43.56981,3.391,5,
172.17209,-43.59524,3.569,5,
172.06744,-43.61099,3.001,5,
172.28746,-43.6149,3.925,5,
172.30405,-43.55462,3.178,5,
172.34734,-43.60829,3.398,5,
171.87758,-43.56702,3.309,5,
172.25801,-43.60332,3.527,5,
172.38414,-43.58119,3.058,5,
172.4359,-43.66308,3.533,5,
172.47163,-43.63888,3.003,5,
172.1165,-43.5947,3.112,5,
172.34676,-43.59018,3.605,5,
172.37738,-43.5607,3.253,5,
171.92126,-43.56728,3.381,5,
172.23676,-43.62017,3.168,5,
172.12709,-43.51032,2.696,5,
172.20291,-43.55304,3.295,5,
172.29262,-43.58553,3.007,12,
172.18323,-43.62764,3.072,5,
172.3454,-43.59164,2.966,5,
172.52646,-43.51237,3.06,16.3419,
172.19888,-43.512,3.335,5,
171.9897,-43.56758,3.962,8.3406,
172.24605,-43.685,2.767,5,
172.06989,-43.59444,2.663,5,
171.95135,-43.57582,2.923,5,
172.18819,-43.5976,3.1,17.9189,
172.18999,-43.56454,3.127,5,
172.40186,-43.58372,4.8,8.6807,
172.40242,-43.59412,4.441,10.4522,
172.13329,-43.53292,3.87,12,
172.16226,-43.47335,3.49,5,
172.10452,-43.53453,3.102,5,
172.23663,-43.61254,3.543,5,
172.40489,-43.50297,3.063,5,
172.36053,-43.62069,2.786,5,
171.88409,-43.58549,3.225,5,
171.88499,-43.57277,3.697,5,
172.35338,-43.55885,3.288,5,
172.35081,-43.61351,2.88,5,
172.34505,-43.55161,2.838,5,
172.02159,-43.37907,2.819,8.6407,
172.1277,-43.5916,2.987,5,
172.37247,-43.58784,2.919,5,
171.89575,-43.56173,3.003,5,
172.29364,-43.62775,2.735,5,
171.93831,-43.56766,3.328,5,
172.15663,-43.49926,4.027,5.8788,
172.11063,-43.59458,3.853,6.9558,
172.16,-43.50596,2.697,5,
172.19763,-43.58089,2.857,12,
172.18799,-43.53481,2.659,5,
172.90739,-43.77293,3.876,20.0664,
171.86494,-43.53433,3.5,5,
172.37065,-43.57023,4.4,5,
172.37668,-43.5676,3.941,5,
172.41133,-43.6416,3.075,5,
172.25665,-43.5359,3.055,5,
172.18466,-43.57984,3.791,6.1974,
172.36946,-43.56889,3.445,5,
172.29625,-43.59651,3.112,5,
171.98843,-43.51096,3.449,5,
172.29173,-43.62775,3.14,5,
171.94566,-43.52047,3.175,5,
172.36682,-43.56866,3.312,5,
172.3358,-43.61222,2.963,5,
172.89784,-43.52876,2.996,5,
172.37373,-43.5656,3.061,5,
172.39102,-43.58171,3.038,5,
172.2113,-43.60784,2.893,5,
172.39412,-43.55283,3.173,5,
171.94312,-43.53643,3.589,14.5925,
172.31667,-43.60709,2.997,5,
172.14935,-43.50447,2.943,7.5254,
172.39444,-43.55692,3.169,5,
172.33728,-43.54692,2.731,5,
172.40768,-43.56427,2.939,9.6016,
172.16614,-43.46335,2.94,5,
172.07832,-43.59616,2.678,5,
172.22733,-43.5639,2.545,5,
172.33929,-43.56008,2.894,5,
172.50261,-43.65575,3.767,5,
172.42409,-43.62831,3.63,5,
172.28075,-43.51095,3.45,5,
172.37587,-43.64032,3.078,5,
171.95306,-43.57082,3.443,5,
172.09174,-43.30871,3.482,8.7999,
172.334,-43.61383,3.38,15.6131,
172.32762,-43.6132,2.901,13.6314,
172.18898,-43.54802,3.565,7.1208,
172.13431,-43.49733,2.838,5,
172.3513,-43.57739,2.677,5,
172.18881,-43.53963,3.267,7.7684,
172.26387,-43.62392,2.59,5,
172.38968,-43.59166,2.739,5,
172.29984,-43.60524,2.877,12,
172.10933,-43.58831,3.606,8.5497,
172.38275,-43.64339,2.75,5,
172.17757,-43.63984,2.857,5,
172.13132,-43.61146,3.153,5,
172.23256,-43.4652,3.231,5,
172.10887,-43.55689,3.179,5,
172.28046,-43.60915,2.759,5,
172.21495,-43.62139,3.61,5,
172.18446,-43.45223,3.586,5,
171.83861,-43.51344,3.407,5,
172.37796,-43.57924,3.529,5,
172.37222,-43.57684,3.286,5,
172.35747,-43.60506,3.102,5,
172.37405,-43.57056,3.769,5,
172.44618,-43.62758,3.262,5,
172.09085,-43.59906,2.878,5,
172.15253,-43.57936,2.823,5,
172.30031,-43.55319,3.291,5,
172.2957,-43.62497,3.147,5,
172.37375,-43.55203,3.71,5,
172.36456,-43.61028,3.267,5,
172.20872,-43.5714,3.662,17.4831,
172.02998,-43.55073,3.601,11.405,
172.38678,-43.55509,3.198,5,
171.95735,-43.55603,3.138,5,
172.40733,-43.64024,3.264,5,
172.39235,-43.57941,3.249,5,
172.14714,-43.60364,2.76,5,
172.37096,-43.57534,2.568,5,
172.15927,-43.60389,3.172,5,
172.40985,-43.62104,2.674,5,
172.16237,-43.48006,3.409,7.8429,
172.39618,-43.5794,3.215,5,
172.13516,-43.59304,2.714,5,
172.16548,-43.48886,3.456,5,
172.18207,-43.47389,2.933,5,
172.409,-43.61388,3.155,5,
172.18637,-43.53202,2.786,5,
172.16185,-43.6046,3.51,5,
171.79358,-43.53903,3.418,5,
172.31071,-43.58903,3.032,5,
172.25626,-43.60283,3.327,5,
172.13304,-43.5817,3.17,5,
172.46838,-43.54547,3.538,12,
172.15105,-43.46188,3.073,5,
172.39328,-43.58645,2.706,22.8089,
172.38947,-43.53862,2.668,5,
171.86775,-43.53791,2.744,5,
172.27559,-43.56717,2.605,5,
172.27838,-43.58799,3.675,5,
171.85269,-43.58792,3.889,5,
172.35406,-43.60077,3.248,5,
172.30634,-43.57829,3.226,5,
172.29555,-43.55781,2.49,5,
172.33943,-43.57833,2.421,5,
171.87971,-43.56548,3.989,5,
172.3951,-43.56133,3.414,5,
172.24995,-43.57721,3.847,5,
172.47533,-43.62615,3.75,10.5124,
172.25096,-43.5941,3.05,5,
172.36569,-43.55945,2.982,5,
172.30515,-43.59969,3.277,5,
172.22055,-43.59555,2.778,5,
172.27089,-43.60146,2.654,5,
172.36649,-43.57264,3.721,5,
171.92679,-43.50557,3.009,5,
172.29626,-43.55808,2.851,5,
172.36156,-43.59647,4.061,5,
172.50249,-43.59543,3.378,5,
172.70985,-43.64964,2.488,5,
172.17383,-43.52053,3.493,9.225,
171.88943,-43.54584,2.919,5,
172.00587,-43.55528,3.181,5,
172.03877,-43.63465,2.833,5,
172.24518,-43.62341,2.934,9.755,
172.36874,-43.57393,3.8,5.6273,
172.16357,-43.58884,2.847,5,
172.26671,-43.56147,3.567,16.7006,
172.40782,-43.6277,3.143,5,
172.48163,-43.51122,3.043,5,
172.20399,-43.59662,3.387,5,
172.29753,-43.56229,2.793,5,
172.27907,-43.61818,3.22,5,
172.17453,-43.53228,3.294,11.4612,
172.15996,-43.57421,3.429,6.3511,
172.4099,-43.63939,3.24,5,
172.17426,-43.61273,4.22,7.0536,
172.18326,-43.48888,3.735,5,
172.53375,-43.59634,3.63,5,
171.85555,-43.55144,3.527,5,
172.16974,-43.65805,2.973,5,
171.80785,-43.47171,3.133,5,
172.17085,-43.46582,3.044,8.3063,
172.37236,-43.56969,2.838,5,
172.45032,-43.61472,3.154,13.7988,
172.31941,-43.58999,3.221,5,
172.30571,-43.56851,2.881,5,
172.18929,-43.58768,3.315,5,
172.49506,-43.6457,2.859,20.124,
172.40564,-43.61221,3.186,5,
172.41986,-43.56096,3.85,13.5174,
172.45242,-43.61526,3.841,15.2207,
172.22,-43.55236,3.244,12,
172.10144,-43.61153,3.799,5.2696,
172.34575,-43.50059,2.907,5,
172.17348,-43.60738,2.923,5,
172.19696,-43.56356,3.453,5,
171.9297,-43.54212,2.874,5,
172.23608,-43.5321,2.642,5,
172.40091,-43.57224,2.659,11.2157,
172.18703,-43.4928,3.288,5,
172.18895,-43.58276,3.709,5,
172.3363,-43.59666,2.843,5,
171.85231,-43.58879,2.751,5,
172.38913,-43.60236,4.1,6.4555,
