publicid,eventtype,origintime,modificationtime,longitude, latitude, magnitude, depth,magnitudetype, depthtype,evaluationmethod, evaluationstatus, evaluationmode, earthmodel, usedphasecount,usedstationcount,magnitudestationcount, minimumdistance,azimuthalgap,originerror,magnitudeuncertainty,distance
3366726,earthquake,2010-09-04T16:23:19.339Z,2013-07-16T14:07:00.000Z,172.07689,-43.58707,4,7.9415,Mw,,GROPE,reviewed,,nz1dr,24,14,,0.009,154,0.21697,,9.898833357
3366728,earthquake,2010-09-04T16:29:18.491Z,2013-07-16T14:07:00.000Z,172.23526,-43.61919,3.223,5,ML,operator assigned,GROPE,reviewed,,nz1dr,10,6,9,0.285,157,0.12875,0.125,11.56680072
3366729,earthquake,2010-09-04T16:31:18.699Z,2013-07-16T14:07:00.000Z,172.39386,-43.55835,3.863,6.2992,ML,,GROPE,reviewed,,nz1dr,16,9,18,0.057,132,0.26648,0.337,18.53352685
3776547,earthquake,2010-09-04T16:31:45.572Z,2013-07-16T14:53:00.000Z,171.89098,-43.56095,3.431,5,ML,operator assigned,GROPE,reviewed,,nz1dr,10,5,13,0.257,150,0.13623,0.148,22.63391503
3366730,earthquake,2010-09-04T16:33:59.589Z,2013-07-16T14:07:00.000Z,172.32401,-43.61353,3.353,5,ML,operator assigned,GROPE,reviewed,,nz1dr,10,6,10,0.22,151,0.15173,0.131,15.81170569
3776554,earthquake,2010-09-04T16:34:34.763Z,2013-07-16T14:53:00.000Z,172.22423,-43.63111,2.853,5,ML,operator assigned,GROPE,reviewed,,nz1dr,7,4,5,0.295,232,0.09646,0.158,12.40073244
3776563,earthquake,2010-09-04T16:35:54.694Z,2013-07-16T14:53:00.000Z,171.92625,-43.57283,2.672,5,ML,operator assigned,GROPE,reviewed,,nz1dr,12,8,5,0.258,131,0.12953,0.187,20.12495133
3776568,earthquake,2010-09-04T16:36:41.270Z,2013-07-16T14:53:00.000Z,172.2321,-43.62973,2.623,5,ML,operator assigned,GROPE,reviewed,,nz1dr,10,6,5,0.289,160,0.24067,0.123,12.50643578
3366734,earthquake,2010-09-04T16:40:04.210Z,2013-07-17T14:41:00.000Z,172.14029,-43.56694,3.45,5,ML,operator assigned,GROPE,reviewed,,nz1dr,9,5,12,0.251,148,0.1842,0.239,4.93807658
3368062,earthquake,2010-09-04T16:42:50.115Z,2013-07-16T14:15:00.000Z,172.20868,-43.55128,3.303,5,ML,operator assigned,GROPE,reviewed,,nz1dr,12,7,8,0.098,142,0.18958,0.121,4.229399703
3778663,earthquake,2010-09-04T16:43:56.900Z,2013-07-16T14:53:00.000Z,172.15602,-43.42321,2.729,12,ML,operator assigned,GROPE,reviewed,,nz1dr,8,4,4,0.129,190,0.07,0.216,11.61528414
3366735,earthquake,2010-09-04T16:44:02.630Z,2013-07-16T14:07:00.000Z,171.64807,-43.81577,3.501,12,ML,operator assigned,GROPE,reviewed,,nz1dr,13,7,12,0.442,159,0.28471,0.26,52.69796309
3778664,earthquake,2010-09-04T16:45:53.792Z,2013-07-16T14:53:00.000Z,172.26434,-43.61076,3.158,5,ML,operator assigned,GROPE,reviewed,,nz1dr,10,6,6,0.263,154,0.12174,0.215,12.10052926
3366739,earthquake,2010-09-04T16:53:21.897Z,2013-07-16T14:07:00.000Z,172.34737,-43.59513,2.895,5,ML,operator assigned,GROPE,reviewed,,nz1dr,10,6,5,0.201,145,0.15209,0.139,16.30635871
3778708,earthquake,2010-09-04T16:54:34.871Z,2013-07-16T14:53:00.000Z,172.53535,-43.52012,2.912,12,ML,operator assigned,GROPE,reviewed,,nz1dr,9,5,11,0.085,146,0.27204,0.332,29.63365761
3778713,earthquake,2010-09-04T16:55:08.834Z,2013-07-16T14:53:00.000Z,172.4915,-43.54022,2.806,12,ML,operator assigned,GROPE,reviewed,,nz1dr,8,4,7,0.102,158,0.08274,0.291,26.12254385
3778720,earthquake,2010-09-04T16:55:42.421Z,2013-07-16T14:53:00.000Z,171.85258,-43.59932,3.1,5,ML,operator assigned,GROPE,reviewed,,nz1dr,12,7,8,0.303,135,0.13415,0.2,26.64134309
3366742,earthquake,2010-09-04T16:58:51.295Z,2013-07-16T14:07:00.000Z,172.32666,-43.59663,2.823,5,ML,operator assigned,GROPE,reviewed,,nz1dr,10,6,11,0.216,147,0.27528,0.247,14.93215174
3366743,earthquake,2010-09-04T17:00:59.943Z,2013-07-16T14:07:00.000Z,171.87035,-43.58527,2.978,5,ML,operator assigned,GROPE,reviewed,,nz1dr,10,6,6,0.285,134,0.17899,0.151,24.83153308
3778754,earthquake,2010-09-04T17:01:42.509Z,2013-07-16T14:53:00.000Z,172.42661,-43.63643,2.843,5,ML,operator assigned,GROPE,reviewed,,nz1dr,9,5,11,0.155,180,0.07928,0.328,24.11100158
3366744,earthquake,2010-09-04T17:03:16.078Z,2013-07-16T14:07:00.000Z,171.63214,-43.57854,3.163,5,ML,operator assigned,GROPE,reviewed,,nz1dr,9,5,9,0.388,152,0.1771,0.14,43.55269637
3366746,earthquake,2010-09-04T17:07:47.190Z,2013-07-16T14:07:00.000Z,172.17873,-43.49049,3.2,5.1715,ML,,GROPE,reviewed,,nz1dr,13,7,9,0.056,132,0.19281,0.099,4.185647877
3366748,earthquake,2010-09-04T17:14:12.958Z,2013-07-16T14:07:00.000Z,171.88377,-43.55697,2.77,5,ML,operator assigned,GROPE,reviewed,,nz1dr,10,6,5,0.255,150,0.1098,0.107,23.14077945
3778788,earthquake,2010-09-04T17:14:54.409Z,2013-07-16T14:53:00.000Z,172.06607,-43.5844,2.857,5,ML,operator assigned,GROPE,reviewed,,nz1dr,10,6,7,0.258,153,0.14979,0.239,10.37721499
3778797,earthquake,2010-09-04T17:17:24.414Z,2013-07-16T14:53:00.000Z,172.15755,-43.4616,2.841,5,ML,operator assigned,GROPE,reviewed,,nz1dr,9,5,5,0.16,128,0.14642,0.11,7.35452983
3366750,earthquake,2010-09-04T17:17:56.597Z,2013-07-16T14:07:00.000Z,172.14874,-43.61818,4.3,8.4453,Mw,,GROPE,reviewed,,nz1dr,25,16,,0.053,118,0.18799,,10.22198691
3366751,earthquake,2010-09-04T17:20:31.890Z,2013-07-16T14:07:00.000Z,172.14763,-43.6081,4.7,7.8282,Mw,,GROPE,reviewed,,nz1dr,33,25,,0.047,63,0.1572,,9.131249522
3779121,earthquake,2010-09-04T17:23:51.490Z,2013-07-16T14:53:00.000Z,172.3792,-43.64444,3.261,5,ML,operator assigned,GROPE,reviewed,,nz1dr,11,6,9,0.19,157,0.10075,0.264,21.42800935
3366754,earthquake,2010-09-04T17:28:39.668Z,2013-07-16T14:08:00.000Z,172.15968,-43.61218,4.036,5,ML,operator assigned,GROPE,reviewed,,nz1dr,11,6,35,0.298,157,0.09423,0.222,9.460547161
3366756,earthquake,2010-09-04T17:34:30.257Z,2013-07-16T14:08:00.000Z,172.3282,-43.5415,2.624,5,ML,operator assigned,GROPE,reviewed,,nz1dr,11,6,10,0.217,134,0.15387,0.329,13.01487241
3366760,earthquake,2010-09-04T17:39:08.169Z,2013-07-16T14:08:00.000Z,172.37833,-43.63164,3.369,5,ML,operator assigned,GROPE,reviewed,,nz1dr,9,5,10,0.186,154,0.13655,0.162,20.53757594
3366762,earthquake,2010-09-04T17:45:30.330Z,2013-07-16T14:08:00.000Z,172.13609,-43.60851,2.923,5,ML,operator assigned,GROPE,reviewed,,nz1dr,10,6,5,0.29,157,0.11573,0.209,9.386587768
3779138,earthquake,2010-09-04T17:46:04.028Z,2013-07-16T14:53:00.000Z,172.43581,-43.59351,2.838,12.2779,ML,,GROPE,reviewed,,nz1dr,8,4,11,0.137,186,0.05935,0.292,22.80490332
3366765,earthquake,2010-09-04T17:53:13.246Z,2013-07-16T14:08:00.000Z,172.15138,-43.61697,4,7.0111,Mw,,GROPE,reviewed,,nz1dr,21,13,,0.054,116,0.19307,,10.0586021
3779173,earthquake,2010-09-04T18:13:21.429Z,2013-07-16T14:53:00.000Z,172.38554,-43.63238,3.426,5,ML,operator assigned,GROPE,reviewed,,nz1dr,12,7,10,0.181,154,0.11824,0.196,21.06481966
3366774,earthquake,2010-09-04T18:13:42.732Z,2013-07-16T14:08:00.000Z,172.35651,-43.58031,3.511,5,ML,operator assigned,GROPE,reviewed,,nz1dr,10,5,14,0.194,140,0.24773,0.182,16.29886123
3779180,earthquake,2010-09-04T18:14:06.800Z,2013-07-16T14:53:00.000Z,172.36504,-43.57449,3.291,5,ML,operator assigned,GROPE,reviewed,,nz1dr,8,4,8,0.188,193,0.08813,0.265,16.72818995
3366775,earthquake,2010-09-04T18:17:02.266Z,2013-07-16T14:08:00.000Z,172.45647,-43.64472,2.829,17.3091,ML,,GROPE,reviewed,,nz1dr,9,6,5,0.139,151,0.16374,0.125,26.65512964
3366776,earthquake,2010-09-04T18:18:53.841Z,2013-07-16T14:08:00.000Z,172.18793,-43.57202,2.786,5,ML,operator assigned,GROPE,reviewed,,nz1dr,10,6,5,0.268,148,0.08335,0.2,5.226037243
3366777,earthquake,2010-09-04T18:20:58.541Z,2013-07-16T14:08:00.000Z,171.89178,-43.56773,2.7,5,ML,operator assigned,GROPE,reviewed,,nz1dr,9,6,13,0.263,152,0.13201,0.282,22.70621687
3366781,earthquake,2010-09-04T18:29:59.092Z,2013-07-16T14:08:00.000Z,172.38676,-43.56028,2.714,5,ML,operator assigned,GROPE,reviewed,,nz1dr,10,5,7,0.172,133,0.15304,0.261,18.01375977
3366782,earthquake,2010-09-04T18:31:06.223Z,2013-07-16T14:08:00.000Z,172.17453,-43.60015,2.664,5,ML,operator assigned,GROPE,reviewed,,nz1dr,10,6,5,0.29,154,0.22111,0.168,8.116824324
3366784,earthquake,2010-09-04T18:36:54.760Z,2013-07-16T14:08:00.000Z,171.88933,-43.62033,3.8,5,Mw,operator assigned,GROPE,reviewed,,nz1dr,13,9,,0.248,138,0.15541,,24.71325345
3779741,earthquake,2010-09-04T18:39:19.419Z,2013-07-16T14:53:00.000Z,172.38953,-43.61647,3.205,5,ML,operator assigned,GROPE,reviewed,,nz1dr,10,6,8,0.174,148,0.13848,0.227,20.41991506
3366786,earthquake,2010-09-04T18:42:23.400Z,2013-07-16T14:08:00.000Z,172.34175,-43.59006,2.704,5,ML,operator assigned,GROPE,reviewed,,nz1dr,11,6,11,0.205,144,0.15488,0.29,15.64735848
3366787,earthquake,2010-09-04T18:44:39.052Z,2013-07-16T14:08:00.000Z,171.91188,-43.56633,2.959,5,ML,operator assigned,GROPE,reviewed,,nz1dr,11,7,12,0.256,131,0.1594,0.379,21.08841351
3779750,earthquake,2010-09-04T18:47:01.601Z,2013-07-16T14:53:00.000Z,172.94264,-43.2672,2.824,12,ML,operator assigned,GROPE,reviewed,,nz1dr,6,3,9,0.387,251,0.28393,0.297,68.95095123
3366788,earthquake,2010-09-04T18:47:52.667Z,2013-07-16T14:08:00.000Z,172.14459,-43.60064,2.731,5,ML,operator assigned,GROPE,reviewed,,nz1dr,11,6,5,0.284,155,0.15544,0.14,8.368154737
3366793,earthquake,2010-09-04T18:58:01.992Z,2013-07-16T14:08:00.000Z,172.3893,-43.56427,3.173,5,ML,operator assigned,GROPE,reviewed,,nz1dr,10,6,7,0.17,134,0.18858,0.152,18.30812803
3366794,earthquake,2010-09-04T18:59:53.193Z,2013-07-16T14:08:00.000Z,172.14949,-43.61517,3.9,7.1635,Mw,,GROPE,reviewed,,nz1dr,25,16,,0.052,115,0.17401,,9.882011226
3779763,earthquake,2010-09-04T19:02:19.298Z,2013-07-16T14:53:00.000Z,172.00598,-43.26462,3.508,8.8585,ML,,GROPE,reviewed,,nz1dr,13,8,18,0.067,103,0.14308,0.249,32.00703726
3366797,earthquake,2010-09-04T19:09:14.628Z,2013-07-16T14:08:00.000Z,172.1476,-43.61864,2.637,5,ML,operator assigned,GROPE,reviewed,,nz1dr,12,8,5,0.302,137,0.19579,0.103,10.28677866
3779772,earthquake,2010-09-04T19:11:21.135Z,2013-07-16T14:53:00.000Z,172.28525,-43.56036,3.176,5,ML,operator assigned,GROPE,reviewed,,nz1dr,8,5,12,0.246,141,0.10632,0.305,10.14419454
3366799,earthquake,2010-09-04T19:11:32.673Z,2013-07-16T14:08:00.000Z,172.40892,-43.64223,3.746,7.0328,ML,,GROPE,reviewed,,nz1dr,17,11,21,0.046,155,0.19967,0.194,23.23841782
3366801,earthquake,2010-09-04T19:16:31.553Z,2013-07-16T14:08:00.000Z,171.88043,-43.58006,2.642,12,ML,operator assigned,GROPE,reviewed,,nz1dr,8,6,7,0.54,133,0.34337,0.194,23.90025085
3366802,earthquake,2010-09-04T19:22:51.797Z,2013-07-16T14:08:00.000Z,171.88388,-43.55182,2.992,5,ML,operator assigned,GROPE,reviewed,,nz1dr,13,8,7,0.251,129,0.19458,0.156,23.05829686
3366804,earthquake,2010-09-04T19:25:14.700Z,2013-07-16T14:08:00.000Z,172.16451,-43.49239,3.101,5,ML,operator assigned,GROPE,reviewed,,nz1dr,10,6,5,0.189,133,0.12365,0.206,3.892766987
3779780,earthquake,2010-09-04T19:26:38.504Z,2013-07-16T14:53:00.000Z,171.88091,-43.56384,2.924,5,ML,operator assigned,GROPE,reviewed,,nz1dr,11,6,5,0.262,150,0.21973,0.197,23.48765835
3366806,earthquake,2010-09-04T19:30:52.326Z,2013-07-16T14:08:00.000Z,171.92352,-43.56777,3.725,5,ML,operator assigned,GROPE,reviewed,,nz1dr,16,8,19,0.19,151,0.1709,0.196,20.20609594
3780155,earthquake,2010-09-04T19:32:23.354Z,2013-07-16T14:53:00.000Z,172.35222,-43.58633,2.669,5,ML,operator assigned,GROPE,reviewed,,nz1dr,8,4,9,0.197,199,0.11354,0.293,16.2351886
3366807,earthquake,2010-09-04T19:33:58.212Z,2013-07-16T14:08:00.000Z,172.16083,-43.50614,2.786,6.0466,ML,,GROPE,reviewed,,nz1dr,12,7,12,0.045,135,0.08993,0.331,2.422807215
3366808,earthquake,2010-09-04T19:36:07.842Z,2013-07-16T14:08:00.000Z,172.19672,-43.50451,3.219,5,ML,operator assigned,GROPE,reviewed,,nz1dr,10,6,10,0.211,133,0.18972,0.185,3.437037013
3366810,earthquake,2010-09-04T19:41:46.825Z,2013-07-16T14:08:00.000Z,172.28984,-43.60449,3.7,10.1545,Mw,,GROPE,reviewed,,nz1dr,25,14,,0.093,115,0.20305,,13.04270933
3366811,earthquake,2010-09-04T19:45:28.077Z,2013-07-16T14:08:00.000Z,171.89349,-43.59462,2.884,5,ML,operator assigned,GROPE,reviewed,,nz1dr,11,7,11,0.287,135,0.14606,0.356,23.34643049
3780185,earthquake,2010-09-04T19:50:56.970Z,2013-07-17T14:46:00.000Z,172.1707,-43.51483,2.808,5,ML,operator assigned,GROPE,reviewed,,nz1dr,10,6,12,0.211,137,0.11695,0.341,1.405442906
3366813,earthquake,2010-09-04T19:51:38.988Z,2013-07-16T14:08:00.000Z,171.88785,-43.54869,3.8,5,Mw,operator assigned,GROPE,reviewed,,nz1dr,18,11,,0.166,129,0.21835,,22.70207089
3780188,earthquake,2010-09-04T19:53:50.976Z,2013-07-16T14:53:00.000Z,172.16127,-43.59513,2.954,5,ML,operator assigned,GROPE,reviewed,,nz1dr,11,6,7,0.282,153,0.18146,0.162,7.560366669
3366814,earthquake,2010-09-04T19:57:14.787Z,2013-07-16T14:08:00.000Z,172.39381,-43.58376,2.759,5,ML,operator assigned,GROPE,reviewed,,nz1dr,10,5,6,0.167,139,0.157,0.256,19.2533753
3366817,earthquake,2010-09-04T20:03:23.922Z,2013-07-16T14:08:00.000Z,172.26042,-43.61144,3.01,5,ML,operator assigned,GROPE,reviewed,,nz1dr,10,6,5,0.266,154,0.14863,0.204,11.95931781
3366821,earthquake,2010-09-04T20:13:54.747Z,2013-07-16T14:08:00.000Z,172.3717,-43.65087,3.8,7.0925,Mw,,GROPE,reviewed,,nz1dr,18,10,,0.075,160,0.14723,,21.4026613
3780201,earthquake,2010-09-04T20:15:39.723Z,2013-07-16T14:53:00.000Z,171.93904,-43.55844,4.212,6.5999,ML,,GROPE,reviewed,,nz1dr,20,14,43,0.023,130,0.1581,0.206,18.77139751
3366823,earthquake,2010-09-04T20:20:40.887Z,2013-07-16T14:08:00.000Z,172.19196,-43.5392,3.472,5,ML,operator assigned,GROPE,reviewed,,nz1dr,10,6,14,0.239,141,0.21714,0.136,2.344646625
3366825,earthquake,2010-09-04T20:25:17.848Z,2013-07-16T14:08:00.000Z,172.36642,-43.62109,3.378,4.5959,ML,,GROPE,reviewed,,nz1dr,16,12,11,0.029,130,0.13471,0.166,19.08920443
3366826,earthquake,2010-09-04T20:27:14.616Z,2013-07-16T14:08:00.000Z,172.38062,-43.59384,2.729,5,ML,operator assigned,GROPE,reviewed,,nz1dr,10,5,11,0.177,142,0.15938,0.316,18.6656843
3366827,earthquake,2010-09-04T20:30:19.236Z,2013-07-16T14:08:00.000Z,171.94766,-43.5588,3.127,5,ML,operator assigned,GROPE,reviewed,,nz1dr,11,6,8,0.24,150,0.10098,0.209,18.09663996
3780248,earthquake,2010-09-04T20:30:58.779Z,2013-07-16T14:53:00.000Z,171.74315,-43.5589,3.101,5,ML,operator assigned,GROPE,reviewed,,nz1dr,11,6,8,0.316,149,0.19213,0.137,34.41789835
3366829,earthquake,2010-09-04T20:38:27.249Z,2013-07-16T14:08:00.000Z,172.33432,-43.61337,3.282,5,ML,operator assigned,GROPE,reviewed,,nz1dr,10,6,7,0.213,151,0.19385,0.217,16.46958301
3366830,earthquake,2010-09-04T20:40:48.198Z,2013-07-16T14:08:00.000Z,172.43462,-43.61414,3.186,5,ML,operator assigned,GROPE,reviewed,,nz1dr,9,5,6,0.142,143,0.21733,0.234,23.55439513
3366831,earthquake,2010-09-04T20:43:50.575Z,2013-07-16T14:08:00.000Z,172.37526,-43.56985,3.595,5,ML,operator assigned,GROPE,reviewed,,nz1dr,12,7,15,0.18,137,0.13245,0.2,17.36520651
3366832,earthquake,2010-09-04T20:45:28.848Z,2013-07-16T14:08:00.000Z,172.4225,-43.62117,3.05,5,ML,operator assigned,GROPE,reviewed,,nz1dr,11,6,10,0.152,147,0.0949,0.339,23.01006789
3366833,earthquake,2010-09-04T20:51:42.640Z,2013-07-16T14:08:00.000Z,172.39388,-43.60055,2.955,5,ML,operator assigned,GROPE,reviewed,,nz1dr,10,6,6,0.168,143,0.07704,0.214,19.94313494
3366836,earthquake,2010-09-04T20:53:49.549Z,2013-07-16T14:08:00.000Z,172.09662,-43.5901,2.625,5,ML,operator assigned,GROPE,reviewed,,nz1dr,10,6,5,0.266,154,0.10064,0.187,9.042926224
3366840,earthquake,2010-09-04T20:58:56.190Z,2013-07-16T14:08:00.000Z,171.88641,-43.54515,2.581,5,ML,operator assigned,GROPE,reviewed,,nz1dr,11,6,8,0.244,147,0.13792,0.168,22.78052592
3366841,earthquake,2010-09-04T21:02:47.951Z,2013-07-16T14:08:00.000Z,172.34187,-43.61994,3.143,5,ML,operator assigned,GROPE,reviewed,,nz1dr,11,5,6,0.209,153,0.11646,0.244,17.39016221
3366843,earthquake,2010-09-04T21:07:38.817Z,2013-07-16T14:08:00.000Z,171.95604,-43.23745,3.033,7.3044,ML,,GROPE,reviewed,,nz1dr,10,6,6,0.108,107,0.11061,0.192,36.49776777
3366844,earthquake,2010-09-04T21:13:07.715Z,2013-07-16T14:08:00.000Z,171.89436,-43.56295,2.805,5,ML,operator assigned,GROPE,reviewed,,nz1dr,10,6,6,0.258,131,0.09723,0.193,22.40318979
3366849,earthquake,2010-09-04T21:21:05.162Z,2013-07-16T14:08:00.000Z,172.32617,-43.59127,2.87,5,ML,operator assigned,GROPE,reviewed,,nz1dr,9,5,5,0.216,146,0.0878,0.187,14.59940083
3366851,earthquake,2010-09-04T21:26:49.668Z,2013-07-16T14:08:00.000Z,171.89575,-43.58829,2.775,5,ML,operator assigned,GROPE,reviewed,,nz1dr,12,7,5,0.28,134,0.1736,0.221,22.957454
3366852,earthquake,2010-09-04T21:30:34.962Z,2013-07-16T14:08:00.000Z,172.18405,-43.57119,3.259,5,ML,operator assigned,GROPE,reviewed,,nz1dr,11,6,10,0.266,148,0.14494,0.13,5.049019971
3366853,earthquake,2010-09-04T21:32:36.330Z,2013-07-16T14:08:00.000Z,172.37953,-43.63556,3.061,5,ML,operator assigned,GROPE,reviewed,,nz1dr,10,6,7,0.187,155,0.14366,0.281,20.86533228
3366855,earthquake,2010-09-04T21:37:00.766Z,2013-07-16T14:08:00.000Z,172.32945,-43.60217,2.545,5,ML,operator assigned,GROPE,reviewed,,nz1dr,8,5,4,0.215,149,0.17892,0.085,15.44765944
3366858,earthquake,2010-09-04T21:46:09.282Z,2013-07-16T14:08:00.000Z,172.42502,-43.60212,4,10.0671,Mw,,GROPE,reviewed,,nz1dr,28,17,,0.033,122,0.17773,,22.32124203
3366860,earthquake,2010-09-04T21:49:06.104Z,2013-07-16T14:08:00.000Z,172.21895,-43.60532,3.85,5,ML,operator assigned,GROPE,reviewed,,nz1dr,10,6,15,0.295,154,0.19189,0.187,9.598673811
3782236,earthquake,2010-09-04T21:55:00.050Z,2013-07-16T14:54:00.000Z,172.0856,-43.6275,2.874,5,ML,operator assigned,GROPE,reviewed,,nz1dr,7,4,4,0.302,252,0.11068,0.273,12.9656519
3366862,earthquake,2010-09-04T21:55:12.329Z,2013-07-16T14:08:00.000Z,172.89674,-43.4317,3.314,20.3085,ML,,GROPE,reviewed,,nz1dr,8,4,10,0.246,248,0.13521,0.168,59.75657202
3782241,earthquake,2010-09-04T21:58:05.701Z,2013-07-16T14:54:00.000Z,171.8597,-43.55265,2.542,5,ML,operator assigned,GROPE,reviewed,,nz1dr,11,6,5,0.26,149,0.18694,0.1,25.00478574
3366863,earthquake,2010-09-04T21:58:36.606Z,2013-07-16T14:08:00.000Z,172.11794,-43.44704,2.964,5,ML,operator assigned,GROPE,reviewed,,nz1dr,9,5,5,0.133,126,0.15303,0.292,9.794784119
3366865,earthquake,2010-09-04T22:03:42.528Z,2013-07-16T14:08:00.000Z,172.39041,-43.63535,3.7,7.4133,Mw,,GROPE,reviewed,,nz1dr,21,13,,0.041,99,0.20777,,21.57411241
3782255,earthquake,2010-09-04T22:07:44.002Z,2013-07-16T14:54:00.000Z,172.37006,-43.57325,3.084,5,ML,operator assigned,GROPE,reviewed,,nz1dr,11,6,4,0.184,138,0.13169,0.124,17.07120649
3782251,earthquake,2010-09-04T22:09:15.357Z,2013-07-16T14:54:00.000Z,171.8725,-43.56815,3.169,5,ML,operator assigned,GROPE,reviewed,,nz1dr,11,6,10,0.269,152,0.13429,0.129,24.23990687
3782272,earthquake,2010-09-04T22:12:55.595Z,2013-07-16T14:54:00.000Z,172.0728,-43.52858,2.986,5,ML,operator assigned,GROPE,reviewed,,nz1dr,10,6,5,0.203,142,0.22515,0.209,7.671544159
3366870,earthquake,2010-09-04T22:15:53.368Z,2013-07-16T14:08:00.000Z,172.42294,-43.60497,3.7,9.9268,Mw,,GROPE,reviewed,,nz1dr,24,14,,0.038,126,0.2163,,22.28623143
3366871,earthquake,2010-09-04T22:18:06.881Z,2013-07-16T14:08:00.000Z,172.34172,-43.58527,3.117,5,ML,operator assigned,GROPE,reviewed,,nz1dr,10,6,7,0.205,143,0.14978,0.205,15.41553317
3782288,earthquake,2010-09-04T22:22:30.687Z,2013-07-16T14:54:00.000Z,171.96031,-43.29507,2.907,8.4272,ML,,GROPE,reviewed,,nz1dr,11,7,12,0.065,107,0.06747,0.273,30.79220855
3366873,earthquake,2010-09-04T22:23:14.614Z,2013-07-16T14:08:00.000Z,171.94629,-43.29355,3.62,8.3134,ML,,GROPE,reviewed,,nz1dr,18,9,16,0.048,93,0.20151,0.212,31.56256608
3366874,earthquake,2010-09-04T22:24:34.439Z,2013-07-16T14:08:00.000Z,172.38231,-43.56614,3.331,5,ML,operator assigned,GROPE,reviewed,,nz1dr,11,6,9,0.175,135,0.10963,0.165,17.80859235
3782298,earthquake,2010-09-04T22:25:03.591Z,2013-07-16T14:54:00.000Z,172.19046,-43.45955,3.635,5,ML,operator assigned,GROPE,reviewed,,nz1dr,11,6,11,0.072,117,0.19531,0.222,7.75047133
3366879,earthquake,2010-09-04T22:37:36.433Z,2013-07-16T14:08:00.000Z,172.25996,-43.62617,2.694,5,ML,operator assigned,GROPE,reviewed,,nz1dr,9,5,5,0.268,158,0.16503,0.127,13.25851617
3782305,earthquake,2010-09-04T22:38:59.579Z,2013-07-16T14:54:00.000Z,172.40109,-43.59822,2.614,5,ML,operator assigned,GROPE,reviewed,,nz1dr,10,6,5,0.163,142,0.21975,0.168,20.37346286
3782310,earthquake,2010-09-04T22:39:31.243Z,2013-07-16T14:54:00.000Z,172.1684,-43.48001,2.834,5,ML,operator assigned,GROPE,reviewed,,nz1dr,9,5,6,0.18,130,0.13795,0.245,5.25965088
3366884,earthquake,2010-09-04T22:50:25.680Z,2013-07-16T14:08:00.000Z,172.39804,-43.63996,2.88,5,ML,operator assigned,GROPE,reviewed,,nz1dr,10,6,5,0.175,155,0.17981,0.206,22.36961184
3366885,earthquake,2010-09-04T22:52:20.119Z,2013-07-16T14:08:00.000Z,171.8584,-43.53201,2.651,5,ML,operator assigned,GROPE,reviewed,,nz1dr,7,5,5,0.243,145,0.20165,0.131,24.96005111
3366887,earthquake,2010-09-04T22:58:01.893Z,2013-07-16T14:08:00.000Z,172.17308,-43.47834,3.398,6.2144,ML,,GROPE,reviewed,,nz1dr,15,8,14,0.053,130,0.21006,0.277,5.460973766
3366890,earthquake,2010-09-04T23:03:46.883Z,2013-07-16T14:08:00.000Z,172.13773,-43.47855,3.1,8.8971,ML,,GROPE,reviewed,,nz1dr,11,6,8,0.029,122,0.24842,0.256,5.944193093
3366891,earthquake,2010-09-04T23:08:01.237Z,2013-07-16T14:08:00.000Z,172.4326,-43.63824,3.311,5,ML,operator assigned,GROPE,reviewed,,nz1dr,12,8,11,0.029,151,0.18994,0.146,24.62904128
3393152,earthquake,2010-09-04T23:09:40.697Z,2013-07-16T14:48:00.000Z,172.44003,-43.65873,3.069,5,ML,operator assigned,GROPE,reviewed,,nz1dr,9,5,7,0.156,158,0.16977,0.189,26.33814619
3393157,earthquake,2010-09-04T23:13:19.844Z,2013-07-16T14:48:00.000Z,172.1517,-43.60926,2.509,5,ML,operator assigned,GROPE,reviewed,,nz1dr,9,5,4,0.294,157,0.22186,0.143,9.205878129
3366893,earthquake,2010-09-04T23:14:16.863Z,2013-07-16T14:08:00.000Z,171.89137,-43.59511,3.265,5,ML,operator assigned,GROPE,reviewed,,nz1dr,13,8,11,0.288,109,0.17356,0.147,23.52561784
3366896,earthquake,2010-09-04T23:17:38.527Z,2013-07-16T14:08:00.000Z,171.955,-43.30067,2.78,8.8507,ML,,GROPE,reviewed,,nz1dr,8,6,8,0.066,155,0.15283,0.263,30.51116627
3393160,earthquake,2010-09-04T23:18:18.505Z,2013-07-16T14:49:00.000Z,172.2937,-43.57828,2.577,5,ML,operator assigned,GROPE,reviewed,,nz1dr,8,4,8,0.239,207,0.20371,0.32,11.61177151
3366897,earthquake,2010-09-04T23:22:53.675Z,2013-07-16T14:08:00.000Z,172.22293,-43.61401,3.241,5,ML,operator assigned,GROPE,reviewed,,nz1dr,11,6,10,0.293,156,0.18815,0.133,10.60979308
3393170,earthquake,2010-09-04T23:24:21.608Z,2013-07-16T14:49:00.000Z,172.38396,-43.64988,2.565,5,ML,operator assigned,GROPE,reviewed,,nz1dr,8,4,5,0.189,215,0.12248,0.286,22.10087847
3366900,earthquake,2010-09-04T23:32:18.310Z,2013-07-16T14:08:00.000Z,172.28975,-43.57349,2.456,5,ML,operator assigned,GROPE,reviewed,,nz1dr,7,4,4,0.242,206,0.09945,0.166,11.07864516
